,Afghanistan,Angola,Albania,Andorra,Antigua_and_Barbuda,Algeria,Anguilla,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia_and_Herzegovina,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Cambodia,Cameroon,Canada,Cape_Verde,Cases_on_an_international_conveyance_Japan,Cayman_Islands,Central_African_Republic,Chad,Chile,China,Colombia,Congo,Costa_Rica,Cote_dIvoire,Croatia,Cuba,Curacao,Cyprus,Czech_Republic,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe_Islands,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea_Bissau,Guyana,Haiti,Holy_See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,North_Macedonia,Norway,Oman,Pakistan,Palestine,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Vincent_and_the_Grenadines,San_Marino,Saudi_Arabia,Senegal,Serbia,Seychelles,Singapore,Sint_Maarten,Slovakia,Slovenia,Somalia,South_Africa,South_Korea,Spain,Sri_Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Thailand,Timor_Leste,Togo,Trinidad_and_Tobago,Tunisia,Turkey,Turks_and_Caicos_islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_Republic_of_Tanzania,United_States_of_America,United_States_Virgin_Islands,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe
0,,,,,,15.0,,12.0,,,11.0,16.0,,,,,,,14.0,,,,,,,11.0,,,,,,,12.0,,,,,,,17,,,,,,,,,11.0,,13.0,,,20.0,14.0,14.0,,,,,,,,,11.0,19.0,,,,,12.0,,,13.0,,,,,,,,,,,,11.0,,13.0,19.0,12.0,11.0,19.0,,12.0,11.0,,12.0,,,,,,,,,,,,,,,15.0,,14.0,,,,,,12.0,,,,,,23.0,,,,,12.0,,,,,,,12.0,,11.0,,14.0,,,11.0,12.0,14.0,12.0,,,11.0,,,,,,11.0,,,13.0,,,,,11.0,,,11.0,28.0,,,,16.0,11.0,,,,,,,,21.0,,,,,21.0,,11.0,,,,,,,
1,,,,,,17.0,,17.0,,,13.0,25.0,,,,,,,21.0,,,,,,,18.0,,,,,,,13.0,,,,,,,17,,,,,,,,,16.0,,13.0,,,28.0,18.0,19.0,,,,,,,,,,30.0,,,,,13.0,,,15.0,,,,,,,,,,,,13.0,,17.0,25.0,15.0,12.0,22.0,,15.0,12.0,,15.0,,,,,,,,,,,,,,,18.0,,15.0,,,,,,16.0,,,,,,23.0,,,,,20.0,,,,,,,14.0,,13.0,,17.0,,,16.0,12.0,16.0,14.0,,,13.0,,,,,,14.0,,,,,,,,,,,12.0,35.0,,,,20.0,13.0,,,,,,,,30.0,,,,,35.0,,12.0,,,,,,,
2,,,,,,17.0,,19.0,,,13.0,30.0,,,,,,,37.0,,,,,,,25.0,,,,,,,18.0,,,,,,,26,,,,,,,,,,,24.0,,,39.0,27.0,21.0,,,,,,,,,,33.0,,,,,13.0,,,17.0,,,,,,,,,,,,15.0,,19.0,38.0,19.0,12.0,36.0,,,17.0,,19.0,,,,,,,,,,,,,,,21.0,,19.0,,,,,,20.0,,,,,,26.0,,,,,24.0,,,,,,,16.0,,,,24.0,,,18.0,14.0,16.0,23.0,,,17.0,,,,,,14.0,,,,,,,,,,,13.0,47.0,,,,21.0,14.0,,,,,,,,37.0,,,,,55.0,,14.0,,,,,,,
3,,,,,,17.0,,20.0,,,14.0,34.0,,,,,,,67.0,,,,,,,34.0,,,,,,,24.0,,,,,,,41,,,,,,,,,,,32.0,,,,29.0,21.0,,,,,,,,,,48.0,,,,,13.0,,,20.0,,,,,,,,,,,,,,25.0,48.0,26.0,14.0,46.0,,,21.0,,21.0,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,43.0,,,,,,,20.0,,,,,,,,17.0,18.0,33.0,,,24.0,,,,,,14.0,,,,,,,,,,,16.0,84.0,,,,25.0,19.0,,,,,,,,44.0,,,,,60.0,,17.0,,,,,,,
4,,,,,,21.0,,,,,16.0,52.0,,,,,,,75.0,,,,,,,46.0,,,,,,,27.0,,,,,,,56,,,,,,,,,,,34.0,,,,34.0,24.0,,,,,,,,,,61.0,,,,,43.0,,,22.0,,,,,,,,,,,,,,29.0,49.0,34.0,17.0,,,,29.0,,22.0,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,58.0,,,,,,,22.0,,,,,,,,18.0,22.0,43.0,,,29.0,,,,,,20.0,,,,,,,,,,,17.0,121.0,,,,36.0,21.0,,,,,,,,59.0,,,,,103.0,,21.0,,,,,,,
5,,,,,,21.0,,,,,,68.0,,,,,,,88.0,,,,,,,57.0,,,,,,,35.0,,,,,,,81,,,,,,,,,,,41.0,,,,41.0,30.0,,,,,,,,,,79.0,,,,,45.0,,,26.0,,,,,,,,,,,,,,,55.0,43.0,20.0,,,,35.0,,24.0,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,18.0,,60.0,,,40.0,,,,,,20.0,,,,,,,,,,,22.0,136.0,,,,42.0,33.0,,,,,,,,75.0,,,,,144.0,,26.0,,,,,,,
6,,,,,,26.0,,,,,,68.0,,,,,,,122.0,,,,,,,77.0,,,,,,,39.0,,,,,,,106,,,,,,,,,,,52.0,,,,48.0,36.0,,,,,,,,,,91.0,,,,,67.0,,,28.0,,,,,,,,,,,,,,,58.0,54.0,23.0,,,,52.0,,28.0,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,25.0,,76.0,,,,,,,,,20.0,,,,,,,,,,,28.0,288.0,,,,66.0,43.0,,,,,,,,92.0,,,,,177.0,,28.0,,,,,,,
7,,,,,,29.0,,,,,,86.0,,,,,,,178.0,,,,,,,92.0,,,,,,,53.0,,,,,,,132,,,,,,,,,,,65.0,,,,58.0,,,,,,,,,,,127.0,,,,,94.0,,,32.0,,,,,,,,,,,,,,,78.0,66.0,27.0,,,,80.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,,,,,,,,,,,,,,,25.0,,100.0,,,,,,,,,21.0,,,,,,,,,,,32.0,309.0,,,,92.0,56.0,,,,,,,,108.0,,,,,233.0,,30.0,,,,,,,
8,,,,,,,,,,,,,,,,,,,220.0,,,,,,,114.0,,,,,,,60.0,,,,,,,170,,,,,,,,,,,72.0,,,,,,,,,,,,,,,148.0,,,,,126.0,,,38.0,,,,,,,,,,,,,,,87.0,77.0,29.0,,,,107.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,33.0,,119.0,,,,,,,,,21.0,,,,,,,,,,,35.0,491.0,,,,102.0,60.0,,,,,,,,131.0,,,,,281.0,,40.0,,,,,,,
9,,,,,,,,,,,,,,,,,,,289.0,,,,,,,136.0,,,,,,,61.0,,,,,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,,,,,149.0,,,,,,,,,,,,,,,,,,102.0,92.0,36.0,,,,148.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.0,,,,,,,,,,,,,,,35.0,,,,,,,,,,,21.0,,,,,,,,,,,42.0,598.0,,,,110.0,66.0,,,,,,,,,,,,,335.0,,47.0,,,,,,,
